"amt_Price","distance","years_after"
53841.8412208557,0.939544916152954,0
77598.1545448303,0.904268741607666,0
84705.8866024017,0.791022181510925,0
92607.9668998718,0.962728261947632,0
48676.0586500168,0.709654808044434,0
92711.9631767273,0.570469856262207,0
41786.9410514832,0.816928505897522,0
110284.466743469,0.997211933135986,1
61656.3409566879,0.934114396572113,0
54676.8884658813,0.934114396572113,1
139224.277496338,0.716333866119385,0
271747.410297394,0.763428330421448,1
246153.846979141,0.712847948074341,1
22613.5733127594,0.119866870343685,0
37520.939707756,0.119866870343685,0
78017.295062542,0.365306109189987,0
93684.8037242889,0.298328399658203,0
17878.1045079231,0.19561405479908,0
35695.7763433456,0.19561405479908,0
370120.475769043,0.729199171066284,1
187948.420524597,0.843800008296967,0
179928.821802139,0.786127030849457,-1
188511.140346527,0.673278570175171,0
281056.265830994,0.438422799110413,0
194649.068832397,0.523943305015564,-1
200112.68556118,0.523943305015564,1
163106.803894043,0.952799797058105,-1
155072.623968124,0.671013951301575,0
175797.9388237,0.60326737165451,0
184593.480348587,0.78302800655365,-1
161584.163963795,0.858823239803314,0
140857.793092728,0.936553239822388,1
165439.6276474,0.612949073314667,0
125217.397212982,0.922663807868958,0
154927.961826324,0.981855392456055,0
136178.196907043,0.981232285499573,0
135596.445441246,0.569238007068634,-1
145109.980106354,0.516570210456848,1
137607.228636742,0.314377039670944,1
136166.178405285,0.298030406236649,-1
135211.274027824,0.298030406236649,1
122010.400295258,0.578236877918243,0
214285.723865032,0.970488727092743,-1
157637.32612133,0.942751407623291,0
199044.852495193,0.93842077255249,0
151346.378207207,0.989979684352875,0
159520.094871521,0.947688043117523,-1
195345.691680908,0.697355091571808,1
63065.6958818436,0.908886969089508,1
67377.8802156448,0.848037958145142,1
39587.628364563,0.876327157020569,0
66013.9852762222,0.982369005680084,0
87076.0604739189,0.78584086894989,1
78780.7750701904,0.631424784660339,0
146062.721252441,0.969643890857697,0
157192.983627319,0.934564173221588,0
138874.86076355,0.896826207637787,0
145369.836091995,0.85271155834198,0
137543.860673904,0.762973070144653,0
170340.141892433,0.723027110099792,1
134356.664180756,0.687701225280762,1
139695.428609848,0.691117823123932,1
172529.585659504,0.674041569232941,1
153773.262500763,0.728756248950958,1
130612.24937439,0.748710334300995,1
153687.813282013,0.769492506980896,0
132566.170692444,0.795302748680115,0
133599.532306194,0.830081820487976,0
160093.954324722,0.863469660282135,0
172350.878477097,0.916437804698944,0
135290.665626526,0.943846881389618,0
129306.123733521,0.985470473766327,0
119258.005142212,0.932835519313812,1
137221.909046173,0.875612199306488,0
127174.679756165,0.975187420845032,0
135257.73024559,0.931328952312469,0
144028.348326683,0.671942949295044,0
161823.634147644,0.829192340373993,-1
138161.047697067,0.690531253814697,1
140541.793942451,0.641403913497925,0
143225.804388523,0.966082811355591,0
139988.787174225,0.966082811355591,1
144194.10943985,0.920597970485687,0
143832.75604248,0.961405515670776,0
173665.476739407,0.949553489685059,-1
161684.211730957,0.949553489685059,0
167832.165956497,0.939271092414856,0
158368.325233459,0.930897355079651,-1
164602.995276451,0.922730088233948,0
154337.131500244,0.730612874031067,-1
159450.169801712,0.796691417694092,0
159812.429428101,0.806346297264099,0
148002.398490906,0.847625970840454,-1
140000.006258488,0.865847051143646,-1
161567.731618881,0.960715651512146,0
145624.269247055,0.932871520519257,0
10829.1029930115,0.932871520519257,1
136982.45716095,0.703308641910553,0
134158.07390213,0.66917085647583,0
160557.495117188,0.587550580501556,0
159535.145521164,0.654442310333252,0
154557.828426361,0.54439389705658,1
139584.576189518,0.546869933605194,-1
141473.685264587,0.534406185150146,0
138148.989379406,0.608426570892334,1
